stage,dimension,n,mean,median,sd,min,max
General,Financial security,2817,62.51757188498393,66,24.080751491546664,0,100
General,Security,880,73.68522727272727,77,21.114935700076597,0,100
General,Competence,1042,72.92994241842611,75,20.159829323296,0,100
General,Autonomy,1219,71.61279737489745,74,19.04129210148431,0,100
General,Materiality,412,72.60436893203884,75,19.91908889785106,0,100
General,Relatedness,366,59.021857923497286,65,27.9149307099026,0,100
General,Stimulation,313,36.370607028754016,32,26.608209740451787,0,100
General,Popularity,67,41.83582089552239,35,24.26470002120262,6,100
General,Meaning,755,41.92847682119205,40,30.715001599766634,0,100
Implemented,Financial security,937,63.35432230522943,68,24.084661151282052,0,100
Implemented,Security,237,73.21097046413502,79,22.35816419694601,0,100
Implemented,Competence,335,73.43880597014926,75,20.38495508407132,0,100
Implemented,Autonomy,453,71.23399558498896,74,19.108053048410405,0,100
Implemented,Materiality,183,74.14754098360656,75,19.773027526061554,0,100
Implemented,Relatedness,135,58.903703703703705,63,29.593230890499594,0,100
Implemented,Stimulation,114,41.41228070175437,40,26.405889462242897,0,95
Implemented,Popularity,28,44.75,35,28.675224820714458,6,100
Implemented,Meaning,296,42.74662162162162,40,30.765487852221003,0,100
Aware / would consider,Financial security,1075,61.73953488372093,65,23.900925816890624,0,100
Aware / would consider,Security,359,74.84679665738162,78,19.7709350055795,0,100
Aware / would consider,Competence,369,72.5609756097561,75,20.00332024401773,0,100
Aware / would consider,Autonomy,420,72.15000000000002,74.5,18.881589952671114,0,100
Aware / would consider,Materiality,138,71.76086956521739,71.5,18.682344351799454,10,100
Aware / would consider,Relatedness,128,57.2734375,63.5,27.688001564039183,0,100
Aware / would consider,Stimulation,131,34.79389312977099,30,26.55667888099887,0,100
Aware / would consider,Popularity,21,38.95238095238095,33,22.96187316069007,8,75
Aware / would consider,Meaning,261,41.015325670498086,36,31.118874973319137,0,100
Unaware but curious,Financial security,805,62.582608695652155,65,24.310536496106565,0,100
Unaware but curious,Security,284,72.61267605633803,75,21.688233800679168,0,100
Unaware but curious,Competence,338,72.82840236686391,75,20.155187780634414,0,100
Unaware but curious,Autonomy,346,71.45664739884393,73.5,19.186638595948583,0,100
Unaware but curious,Materiality,91,70.78021978021978,75,21.924518085570163,10,100
Unaware but curious,Relatedness,103,61.349514563106794,65,25.963665689508307,0,100
Unaware but curious,Stimulation,68,30.95588235294117,25,25.974404061960925,0,90
Unaware but curious,Popularity,18,40.666666666666664,36.5,18.272447918688304,9,73
Unaware but curious,Meaning,198,41.90909090909092,38,30.220371960034868,0,100
