left_id,right_id,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
KM1,Activist,8,6,2,25,33.333333333333336,16.666666666666668,det_15_self_satisfaction; det_17_adherence
KM1,Careful,8,12,3,37.5,25,17.647058823529413,det_02_credit_score; det_06_climate_protection; det_17_adherence
KM1,Early.Adopter,8,6,2,25,33.333333333333336,16.666666666666668,det_15_self_satisfaction; det_17_adherence
KM1,Fearful,8,9,1,12.5,11.11111111111111,6.25,det_02_credit_score
KM1,Homo.Economicus,8,9,1,12.5,11.11111111111111,6.25,det_15_self_satisfaction
KM1,Influencer,8,5,1,12.5,20,8.333333333333334,det_22_peer_pressure
KM1,Stubborn,8,3,2,25,66.66666666666667,22.22222222222222,det_15_self_satisfaction; det_17_adherence
KM1,Uninterested,8,6,3,37.5,50,27.272727272727273,det_20_coziness; det_22_peer_pressure; det_30_authority
KM2,Activist,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_14_environmental_concerns
KM2,Careful,8,12,3,37.5,25,17.647058823529413,det_06_climate_protection; det_12_own_competence; det_14_environmental_concerns
KM2,Early.Adopter,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_14_environmental_concerns
KM2,Fearful,8,9,1,12.5,11.11111111111111,6.25,det_07_legal
KM2,Homo.Economicus,8,9,2,25,22.22222222222222,13.333333333333334,det_01_profits; det_07_legal
KM2,Influencer,8,5,2,25,40,18.181818181818183,det_22_peer_pressure; det_31_approval
KM2,Stubborn,8,3,0,0,0,0,
KM2,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_07_legal; det_22_peer_pressure
KM3,Activist,8,6,0,0,0,0,
KM3,Careful,8,12,2,25,16.666666666666668,11.11111111111111,det_06_climate_protection; det_09_safety
KM3,Early.Adopter,8,6,0,0,0,0,
KM3,Fearful,8,9,1,12.5,11.11111111111111,6.25,det_09_safety
KM3,Homo.Economicus,8,9,2,25,22.22222222222222,13.333333333333334,det_01_profits; det_09_safety
KM3,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
KM3,Stubborn,8,3,0,0,0,0,
KM3,Uninterested,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_22_peer_pressure
KM4,Activist,8,6,3,37.5,50,27.272727272727273,det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction
KM4,Careful,8,12,3,37.5,25,17.647058823529413,det_11_knowledge; det_14_environmental_concerns; det_19_wellbeing
KM4,Early.Adopter,8,6,3,37.5,50,27.272727272727273,det_11_knowledge; det_14_environmental_concerns; det_15_self_satisfaction
KM4,Fearful,8,9,3,37.5,33.333333333333336,21.428571428571427,det_11_knowledge; det_13_technical_fit; det_19_wellbeing
KM4,Homo.Economicus,8,9,3,37.5,33.333333333333336,21.428571428571427,det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
KM4,Influencer,8,5,3,37.5,60,30,det_11_knowledge; det_22_peer_pressure; det_28_recognition
KM4,Stubborn,8,3,2,25,66.66666666666667,22.22222222222222,det_11_knowledge; det_15_self_satisfaction
KM4,Uninterested,8,6,3,37.5,50,27.272727272727273,det_13_technical_fit; det_19_wellbeing; det_22_peer_pressure
KM5,Activist,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_08_trust
KM5,Careful,8,12,4,50,33.333333333333336,25,det_08_trust; det_09_safety; det_10_cost_efficiency; det_12_own_competence
KM5,Early.Adopter,8,6,0,0,0,0,
KM5,Fearful,8,9,3,37.5,33.333333333333336,21.428571428571427,det_08_trust; det_09_safety; det_10_cost_efficiency
KM5,Homo.Economicus,8,9,3,37.5,33.333333333333336,21.428571428571427,det_08_trust; det_09_safety; det_10_cost_efficiency
KM5,Influencer,8,5,1,12.5,20,8.333333333333334,det_31_approval
KM5,Stubborn,8,3,0,0,0,0,
KM5,Uninterested,8,6,0,0,0,0,
KM6,Activist,8,6,2,25,33.333333333333336,16.666666666666668,det_13_technical_fit; det_17_adherence
KM6,Careful,8,12,2,25,16.666666666666668,11.11111111111111,det_06_climate_protection; det_17_adherence
KM6,Early.Adopter,8,6,2,25,33.333333333333336,16.666666666666668,det_17_adherence; det_29_trends
KM6,Fearful,8,9,1,12.5,11.11111111111111,6.25,det_13_technical_fit
KM6,Homo.Economicus,8,9,1,12.5,11.11111111111111,6.25,det_13_technical_fit
KM6,Influencer,8,5,3,37.5,60,30,det_22_peer_pressure; det_28_recognition; det_31_approval
KM6,Stubborn,8,3,1,12.5,33.333333333333336,10,det_17_adherence
KM6,Uninterested,8,6,3,37.5,50,27.272727272727273,det_13_technical_fit; det_22_peer_pressure; det_30_authority
